Date,Open,High,Low,Close,Volume,SMA,EMA,RSI,MACD,SignalLine
2024-10-08,0.970532,1,1,0.993772,0.197246,0,0,0,0,0
2024-10-09,1,0.993928,0.97613,1,0.188366,0,0,0,0,0
2024-10-10,0.945035,0.892052,0.884404,0.971765,0.624477,0,0,0,0,0
2024-10-11,0.873607,0.905682,0.934156,0.934948,0.275597,0,0,0,0,0
2024-10-14,0.919539,0.934557,0.899021,0.92872,0.165794,0,0,0,0,0
2024-10-15,0.861115,0.807583,0.783291,0.862699,0.366917,0,0,0,0,0
2024-10-16,0.795324,0.796463,0.776452,0.78173,0.153296,0,0,0,0,0
2024-10-17,0.819987,0.81379,0.778061,0.811626,0.141828,0,0,0,0,0
2024-10-18,0.786803,0.805155,0.774306,0.777993,0.0818554,0,0,0,0,0
2024-10-21,0.765663,0.786129,0.800188,0.777855,0.102572,0,0,0,0,0
2024-10-22,0.776425,0.755903,0.749095,0.760415,0.200073,0,0,0,0,0
2024-10-23,0.730301,0.737147,0.733271,0.71481,0.105902,0,0,0,0,0
2024-10-24,0.752594,0.761841,0.740378,0.738962,0.0718477,0,0,0,0,0
2024-10-25,0.761051,0.798273,0.777793,0.79045,0.144649,0,0,0,0,0
2024-10-28,0.800769,0.825192,0.827276,0.809412,0.210788,0.616882,0.825308,30.006,-0.0596801,-0.0509692
2024-10-29,0.834081,0.850762,0.912163,0.90948,0.590438,0.604474,0.836531,27.0584,-0.0476784,-0.050311
2024-10-30,0.730429,0.704493,0.675473,0.710311,0.757651,0.587374,0.819702,33.2483,-0.0536201,-0.0509729
2024-10-31,0.663677,0.64013,0.614724,0.648858,0.299405,0.576868,0.796922,32.2923,-0.0625665,-0.0532916
2024-11-01,0.620628,0.613008,0.585088,0.591557,0.242709,0.569886,0.76954,34.1022,-0.0734338,-0.05732
2024-11-04,0.585522,0.591418,0.569666,0.5791,0.137867,0.568695,0.744148,33.6369,-0.0821049,-0.062277
2024-11-05,0.588597,0.605991,0.582406,0.571349,0.116179,0.568564,0.721109,32.516,-0.0885811,-0.0675378
2024-11-06,0.627162,0.615706,0.628537,0.606574,0.178006,0.569283,0.705837,38.6784,-0.0898357,-0.0719974
2024-11-07,0.649327,0.671569,0.691833,0.668789,0.150658,0.568124,0.700898,39.5097,-0.0848318,-0.0745643
2024-11-08,0.684049,0.696735,0.666756,0.676955,0.121394,0.563048,0.697705,34.1284,-0.0792932,-0.0755101
2024-11-11,0.658296,0.661449,0.65871,0.647336,0.145809,0.552709,0.690989,35.3958,-0.0764131,-0.0756907
2024-11-12,0.653427,0.616113,0.608824,0.631834,0.18487,0.540937,0.683102,43.0719,-0.0745224,-0.075457
2024-11-13,0.600384,0.582647,0.550758,0.590865,0.201653,0.529699,0.670804,44.1357,-0.0754599,-0.0754576
2024-11-14,0.568097,0.575766,0.544589,0.548097,0.164993,0.521277,0.654443,45.308,-0.0787462,-0.0761153
2024-11-15,0.519859,0.509513,0.491753,0.492042,0.297617,0.514287,0.632789,45.0499,-0.0848953,-0.0778713
2024-11-18,0.540487,0.55755,0.545796,0.541176,0.240117,0.50765,0.620574,43.2325,-0.0848258,-0.0792622
2024-11-19,0.530557,0.556605,0.551965,0.52526,0.0745384,0.498086,0.607866,34.2663,-0.0850744,-0.0804247
2024-11-20,0.550416,0.534206,0.52796,0.539377,0.134965,0.489782,0.598734,30.2163,-0.0831735,-0.0809744
2024-11-21,0.549263,0.526785,0.526485,0.532594,0.13992,0.477747,0.589915,29.8999,-0.0812775,-0.081035
2024-11-22,0.529789,0.555256,0.538018,0.516678,0.060292,0.465,0.58015,32.3203,-0.0801354,-0.0808551
2024-11-25,0.570019,0.582378,0.575298,0.561246,0.15697,0.456148,0.57763,31.2524,-0.0747721,-0.0796385
2024-11-26,0.596413,0.549588,0.52957,0.567474,0.16934,0.445878,0.576276,27.8173,-0.0692211,-0.077555
2024-11-27,0.527867,0.500202,0.509722,0.500208,0.149059,0.435151,0.566133,27.1988,-0.0694492,-0.0759339
2024-11-29,0.515567,0.538254,0.522328,0.509204,0,0.427013,0.558543,28.8767,-0.0681188,-0.0743709
2024-12-02,0.537028,0.565511,0.58777,0.567751,0.180026,0.416985,0.55977,24.8533,-0.0616298,-0.0718227
2024-12-03,0.596797,0.609771,0.586697,0.576464,0.0696084,0.403649,0.561996,23.6206,-0.0551484,-0.0684878
2024-12-04,0.601666,0.611119,0.613652,0.585744,0.10428,0.389594,0.565163,34.0074,-0.0487017,-0.0645306
2024-12-05,0.61089,0.600324,0.578383,0.583391,0.142728,0.37675,0.567593,36.4417,-0.0432835,-0.0602812
2024-12-06,0.582703,0.560113,0.541236,0.567269,0.185045,0.367601,0.56755,36.1839,-0.0398313,-0.0561912
2024-12-09,0.508776,0.460262,0.43771,0.470173,0.433435,0.359937,0.554566,34.7716,-0.0444182,-0.0538366
2024-12-10,0.455605,0.420726,0.395736,0.411903,0.241437,0.352691,0.535544,32.2537,-0.0521541,-0.0535001
2024-12-11,0.416656,0.409258,0.428054,0.407059,0.312117,0.343798,0.518413,31.6021,-0.058007,-0.0544015
2024-12-12,0.435618,0.447713,0.434089,0.422422,0.192347,0.334297,0.505614,31.0977,-0.060706,-0.0556624
2024-12-13,0.452274,0.389691,0.384605,0.408304,0.544404,0.324843,0.49264,37.4442,-0.0632551,-0.0571809
2024-12-16,0.384497,0.367427,0.381655,0.359308,0.275112,0.317314,0.474862,48.3827,-0.0684398,-0.0594327
2024-12-17,0.36451,0.367832,0.35926,0.349896,0.288068,0.312698,0.4582,50.1617,-0.0724729,-0.0620407
2024-12-18,0.377066,0.331129,0.310849,0.35917,0.355876,0.309695,0.444996,40.3628,-0.074067,-0.064446
2024-12-19,0.33517,0.304412,0.276921,0.298685,0.318174,0.306926,0.425488,33.1855,-0.0792968,-0.0674162
2024-12-20,0.281871,0.296991,0.281346,0.277647,0.396784,0.308497,0.405776,32.0403,-0.0841689,-0.0707667
2024-12-23,0.316592,0.331669,0.353627,0.339636,0.335283,0.309778,0.396957,34.3798,-0.0820818,-0.0730297
2024-12-24,0.403716,0.388207,0.376291,0.355848,0.0925044,0.309024,0.391476,37.8183,-0.078218,-0.0740674
2024-12-26,0.378219,0.393469,0.359796,0.35294,0.0957795,0.302498,0.386338,39.1259,-0.0745314,-0.0741602
2024-12-27,0.363485,0.355822,0.361539,0.337439,0.178138,0.294782,0.379818,42.3418,-0.0720302,-0.0737342
2024-12-30,0.353133,0.357037,0.324661,0.308651,0.152511,0.289481,0.370329,44.2821,-0.0715462,-0.0732966
2024-12-31,0.347213,0.327189,0.302535,0.301038,0.149356,0.286948,0.36109,47.8383,-0.070959,-0.0728291
2025-01-02,0.336835,0.317771,0.300389,0.295363,0.192232,0.28419,0.352327,44.7011,-0.0701429,-0.0722919
2025-01-03,0.328635,0.344488,0.363953,0.328858,0.218988,0.278668,0.349197,47.6367,-0.0660323,-0.0710399
2025-01-06,0.423703,0.424639,0.420008,0.400415,0.337846,0.274716,0.356026,37.6226,-0.0563509,-0.0681021
2025-01-07,0.442152,0.417807,0.390237,0.413979,0.24475,0.261817,0.363754,35.4616,-0.0470416,-0.06389
2025-01-08,0.365279,0.326948,0.316615,0.32526,0.324124,0.248564,0.358621,40.0178,-0.0462892,-0.0603699
2025-01-10,0.284177,0.25044,0.238836,0.234048,0.458403,0.23792,0.342011,43.4979,-0.0524484,-0.0587856
2025-01-13,0.247021,0.249899,0.256001,0.217024,0.243782,0.232862,0.325346,42.2936,-0.0580343,-0.0586353
2025-01-14,0.281871,0.251113,0.239507,0.233356,0.221316,0.22981,0.313081,36.7738,-0.0604464,-0.0589975
2025-01-15,0.276105,0.291054,0.291404,0.257716,0.233805,0.225087,0.305699,45.0037,-0.0597043,-0.0591389
2025-01-16,0.31057,0.301714,0.271021,0.26699,0.141006,0.221059,0.300538,36.5308,-0.0577026,-0.0588516
2025-01-17,0.317489,0.332749,0.311519,0.289827,0.208204,0.216589,0.29911,37.3008,-0.053655,-0.0578123
2025-01-21,0.338117,0.340441,0.322516,0.303806,0.163907,0.211613,0.299736,34.7507,-0.0487572,-0.0560013
2025-01-22,0.346957,0.351127,0.342229,0.330104,0.200353,0.206326,0.303785,37.3371,-0.0422665,-0.0532543
2025-01-23,0.325753,0.333828,0.332708,0.303253,0.0934729,0.200028,0.303714,40.2167,-0.0388414,-0.0503717
2025-01-24,0.365791,0.355418,0.330025,0.324567,0.163817,0.194526,0.306494,38.7974,-0.034015,-0.0471004
2025-01-27,0.279308,0.228174,0.225023,0.225329,0.475883,0.18508,0.295672,43.5978,-0.0377625,-0.0452328
2025-01-28,0.245676,0.230198,0.213759,0.198616,0.258867,0.178547,0.282731,43.6494,-0.0423991,-0.0446661
2025-01-29,0.253299,0.25732,0.256403,0.231419,0.255104,0.171384,0.27589,45.3037,-0.0429319,-0.0443193
2025-01-30,0.288661,0.286061,0.276653,0.257993,0.144966,0.162554,0.273504,46.3365,-0.0407402,-0.0436034
2025-01-31,0.296477,0.262313,0.237629,0.245882,0.258643,0.149654,0.269821,47.1803,-0.0395248,-0.0427877
2025-02-03,0.22902,0.230603,0.2151,0.184913,0.195722,0.137734,0.2585,45.7881,-0.0429858,-0.0428273
2025-02-04,0.249199,0.255026,0.285235,0.249827,0.564159,0.129443,0.257343,39.2244,-0.0400293,-0.0422677
2025-02-05,0.148751,0.143166,0.184793,0.142422,1,0,0.242021,35.3422,-0.0458246,-0.0429791
2025-02-06,0.191288,0.177169,0.159984,0.148927,0.363305,0,0.229608,32.0632,-0.049324,-0.0442481
2025-02-07,0.168225,0.147079,0.125117,0.112388,0.317347,0,0.213979,32.0182,-0.0544184,-0.0462822
2025-02-10,0.159385,0.16543,0.164275,0.132872,0.1991,0,0.203164,27.8462,-0.0561556,-0.0482568
2025-02-11,0.166304,0.17609,0.17259,0.155986,0.200458,0,0.196874,29.201,-0.0550327,-0.049612
2025-02-12,0.173222,0.177775,0.180904,0.138901,0.09769,0,0.189144,31.3599,-0.0548888,-0.0506674
2025-02-13,0.204997,0.19579,0.182111,0.177163,0.262644,0,0.187547,1.1365e-309,-0.0510983,-0.0507536
2025-02-14,0.213325,0.213332,0.19941,0.177578,0.173411,0,0.186218,1.39039e-311,-0.0475131,-0.0501055
2025-02-18,0.231262,0.236945,0.215234,0.190311,0.165404,0,0.186763,1.39039e-311,-0.0431469,-0.0487138
2025-02-19,0.23376,0.232762,0.220732,0.198062,0.134591,0,0.18827,-0.00137193,-0.0386161,-0.0466942
2025-02-20,0.243562,0.23229,0.213759,0.204152,0.117789,0,0.190388,-0.00575738,-0.0341405,-0.0441835
2025-02-21,0.241448,0.196195,0.169103,0.193218,0.267319,0,0.190765,-0.00962451,-0.0311171,-0.0415702
2025-02-24,0.198463,0.163136,0.132493,0.13564,0.137389,0,0.183415,-0.0178112,-0.0329869,-0.0398535
2025-02-25,0.152274,0.104304,0.0768406,0.0946713,0.244208,0,0.171582,-0.0304814,-0.037344,-0.0393516
2025-02-26,0.114606,0.109297,0.0873005,0.0553619,0.13851,0,0.156086,-0.037676,-0.043468,-0.0401749
2025-02-27,0.116336,0.0487114,0.0171651,0.0548097,0.329844,0,0.142583,-0.0455663,-0.0478146,-0.0417029
2025-02-28,0.0456118,0.0377817,0.0218587,0,0.307953,0,0.123572,-0.05124,-0.0550475,-0.0443718
2025-03-03,0.0706598,0.0161921,0,0.00747405,0.241974,0,0.108092,-0.0564925,-0.0594908,-0.0473956
2025-03-04,0,0,0.0337938,0.0191003,0.402769,0,0.0962265,-0.0636019,-0.0613665,-0.0501898
